Model,Mean,Std,Max,P90,P95
Melt - Deterministic,2.8087446689605713,6.369569778442383,31.801315307617188,14.161605834960938,19.443649291992188
Melt - AR1,3.6285007810027206,7.681597911527179,56.60426580984443,14.063707301306417,22.00774134836964
Melt - Temp Jump,3.794420596237069,8.715654862656713,80.0,13.946926296707264,23.357729117829845
Runoff - Deterministic,1.966120958328247,4.4586992263793945,22.26091957092285,9.913124084472656,13.610554695129395
Runoff - AR1,2.5399505467019043,5.377118538069025,39.622986066891094,9.844595110914492,15.405418943858745
Runoff - Temp Jump,2.656094417365948,6.100958403859698,56.0,9.762848407695085,16.350410382480888
